SerialNumber;DeviceName;DeviceType;PersonLastName;PersonFirstName;MailAddress;From;To
123456;Samsung 10";Tablet;Huber;Max;max.huber@gmail.at;08.10.2016;12.11.2016
123456;Samsung 10";Tablet;Meier;Franz;f.meier@gmx.net;01.12.2016;31.12.2016
123456;Samsung 10";Tablet;Müller;Hugo;x.x@x.x;01.02.2017;12.03.2017
123456;Samsung 10";Tablet;Lang;Susi;s.lang@a.a;14.03.2017;
987654;IPhone 6;SmartPhone;Lang;Susi;s.lang@a.a;01.12.2016;28.03.2017
987654;IPhone 6;SmartPhone;Müller;Hugo;x.x@x.x;01.04.2017;
AS12345;Asus 176NV;Notebook;Huber;Max;max.huber@gmail.at;01.07.2016;
AS12345;Asus 176NV;Notebook;Meier;Franz;f.meier@gmx.net;01.08.2016;22.11.2016
AS12345;Asus 176NV;Notebook;Huber;Max;max.huber@gmail.at;03.12.2016;22.01.2017
76543;IPad;Tablet;Huber;Max;max.huber@gmail.at;01.07.2016;
